,R2,Target,Text Features
65,0.467760743,gross,"['movie_title', 'actor_3_name', 'language']"
66,0.03941468,imdb_score,"['movie_title', 'actor_3_name', 'language', 'country']"
67,0.376373692,gross,"['movie_title', 'actor_3_name', 'language', 'country']"
68,0.045222073,imdb_score,"['movie_title', 'actor_3_name', 'language', 'country', 'color']"
69,0.348261217,gross,"['movie_title', 'actor_3_name', 'language', 'country', 'color']"
70,0.200678667,imdb_score,['actor_3_name']
71,2.472502278,gross,['actor_3_name']
72,0.125664463,imdb_score,"['actor_3_name', 'language']"
73,0.751532255,gross,"['actor_3_name', 'language']"
74,0.123065186,imdb_score,"['actor_3_name', 'language', 'country']"
75,0.654048948,gross,"['actor_3_name', 'language', 'country']"
76,0.118361016,imdb_score,"['actor_3_name', 'language', 'country', 'color']"
77,0.605329414,gross,"['actor_3_name', 'language', 'country', 'color']"
78,0.012641185,imdb_score,['language']
79,0.539169516,gross,['language']
80,0.025312075,imdb_score,"['language', 'country']"
81,0.527011649,gross,"['language', 'country']"
82,0.034011229,imdb_score,"['language', 'country', 'color']"
83,0.551176125,gross,"['language', 'country', 'color']"
84,0.005125781,imdb_score,['country']
85,0.531726117,gross,['country']
86,0.010075144,imdb_score,"['country', 'color']"
87,0.549724724,gross,"['country', 'color']"
88,0.002756373,imdb_score,['color']
89,0.573560466,gross,['color']
